OS Benchmark experiment
Test Name:,5.4.0-150-generic,
       ref          kbest:,0.000000012,
       ref        average:,0.000000014,
       cpu          kbest:,0.002147959,
       cpu        average:,0.002148845,
    getpid          kbest:,0.000000487,
    getpid        average:,0.000000495,
context siwtch          kbest:,0.000005479,
context siwtch        average:,0.000005566,
      send          kbest:,0.000000792,
      send        average:,0.000000912,
      recv          kbest:,0.000000766,
      recv        average:,0.000000926,
  big send          kbest:,0.000008891,
  big send        average:,0.000009961,
  big recv          kbest:,0.000003834,
  big recv        average:,0.000008544,
      fork          kbest:,0.000032919,
      fork       average:,0.000066665,
      fork    Child kbest:,0.000056817,
      fork Child average:,0.000093141,
thr create          kbest:,0.000006600,
thr create       average:,0.000008559,
thr create    Child kbest:,0.000008605,
thr create Child average:,0.000011493,
  big fork          kbest:,0.000948720,
  big fork       average:,0.001048175,
  big fork    Child kbest:,0.001023488,
  big fork Child average:,0.001093004,
 huge fork          kbest:,0.002068035,
 huge fork       average:,0.002156891,
 huge fork    Child kbest:,0.002133138,
 huge fork Child average:,0.002239521,
small write          kbest:,0.000001204,
small write        average:,0.000001254,
small read          kbest:,0.000000751,
small read        average:,0.000000779,
small mmap          kbest:,0.000000878,
small mmap        average:,0.000000899,
small munmap          kbest:,0.000001369,
small munmap        average:,0.000001421,
small page fault          kbest:,0.000000988,
small page fault        average:,0.000001015,
 mid write          kbest:,0.000004797,
 mid write        average:,0.000005276,
  mid read          kbest:,0.000002188,
  mid read        average:,0.000002335,
  mid mmap          kbest:,0.000000874,
  mid mmap        average:,0.000000895,
mid munmap          kbest:,0.000004314,
mid munmap        average:,0.000004386,
mid page fault          kbest:,0.000001526,
mid page fault        average:,0.000001556,
 big write          kbest:,0.000597326,
 big write        average:,0.000619906,
  big read          kbest:,0.000342731,
  big read        average:,0.000345666,
  big mmap          kbest:,0.000000877,
  big mmap        average:,0.000000898,
big munmap          kbest:,0.000111042,
big munmap        average:,0.000112026,
big page fault          kbest:,0.000001983,
big page fault        average:,0.000002019,
huge write          kbest:,0.008596300,
huge write        average:,0.008892507,
 huge read          kbest:,0.012379980,
 huge read        average:,0.012475141,
 huge mmap          kbest:,0.000000881,
 huge mmap        average:,0.000000910,
huge munmap          kbest:,0.001118703,
huge munmap        average:,0.001136329,
huge page fault          kbest:,0.000001987,
huge page fault        average:,0.000002023,
    select          kbest:,0.000001148,
    select        average:,0.000001418,
      poll          kbest:,0.000001184,
      poll        average:,0.000001376,
     epoll          kbest:,0.000001267,
     epoll        average:,0.000001381,
select big          kbest:,0.000101020,
select big        average:,0.000157874,
  poll big          kbest:,0.000115998,
  poll big        average:,0.000163177,
 epoll big          kbest:,0.000146441,
 epoll big        average:,0.000200721,
