OS Benchmark experiment
Test Name:,6.10.14,
       ref          kbest:,0.000000013,
       ref        average:,0.000000020,
       cpu          kbest:,0.002149664,
       cpu        average:,0.002155512,
    getpid          kbest:,0.000000508,
    getpid        average:,0.000000516,
context siwtch          kbest:,0.000005023,
context siwtch        average:,0.000005373,
      send          kbest:,0.000000817,
      send        average:,0.000002661,
      recv          kbest:,0.000000962,
      recv        average:,0.000002948,
  big send          kbest:,0.000017570,
  big send        average:,0.000032472,
  big recv          kbest:,0.000023009,
  big recv        average:,0.000028590,
      fork          kbest:,0.000171394,
      fork       average:,0.000249877,
      fork    Child kbest:,0.000264723,
      fork Child average:,0.000401793,
thr create          kbest:,0.000018146,
thr create       average:,0.000024022,
thr create    Child kbest:,0.000023681,
thr create Child average:,0.000034533,
  big fork          kbest:,0.004247802,
  big fork       average:,0.004824723,
  big fork    Child kbest:,0.004415943,
  big fork Child average:,0.004989490,
 huge fork          kbest:,0.006879431,
 huge fork       average:,0.009876558,
 huge fork    Child kbest:,0.007041827,
 huge fork Child average:,0.010034567,
small write          kbest:,0.000001036,
small write        average:,0.000001056,
small read          kbest:,0.000000732,
small read        average:,0.000000785,
small mmap          kbest:,0.000001378,
small mmap        average:,0.000001504,
small munmap          kbest:,0.000001804,
small munmap        average:,0.000001913,
small page fault          kbest:,0.000001173,
small page fault        average:,0.000001242,
 mid write          kbest:,0.000003314,
 mid write        average:,0.000003663,
  mid read          kbest:,0.000002088,
  mid read        average:,0.000002273,
  mid mmap          kbest:,0.000001380,
  mid mmap        average:,0.000001499,
mid munmap          kbest:,0.000005170,
mid munmap        average:,0.000005308,
mid page fault          kbest:,0.000001952,
mid page fault        average:,0.000002018,
 big write          kbest:,0.000430009,
 big write        average:,0.000458510,
  big read          kbest:,0.000347561,
  big read        average:,0.000351075,
  big mmap          kbest:,0.000001393,
  big mmap        average:,0.000001525,
big munmap          kbest:,0.000144426,
big munmap        average:,0.000146799,
big page fault          kbest:,0.000002603,
big page fault        average:,0.000002726,
huge write          kbest:,0.007291499,
huge write        average:,0.007615527,
 huge read          kbest:,0.014022338,
 huge read        average:,0.015082045,
 huge mmap          kbest:,0.000001389,
 huge mmap        average:,0.000001548,
huge munmap          kbest:,0.001402563,
huge munmap        average:,0.001441159,
huge page fault          kbest:,0.000002597,
huge page fault        average:,0.000002729,
    select          kbest:,0.000001158,
    select        average:,0.000001297,
      poll          kbest:,0.000001055,
      poll        average:,0.000001135,
     epoll          kbest:,0.000001258,
     epoll        average:,0.000001404,
select big          kbest:,0.000113019,
select big        average:,0.000139957,
  poll big          kbest:,0.000107940,
  poll big        average:,0.000131917,
 epoll big          kbest:,0.000169689,
 epoll big        average:,0.000192835,
